label	text_a
negative	谁说看了就不想养猫了？我看完就更想养猫了...多有灵性啊
negative	解放自由性革命——二逼青年与学运的故事。看腻了这个调调的欧洲片儿。
negative	整部电影简直就是神经病啊！剧情太弱智了。
negative	的确很烂，田壮壮黔驴技穷了，怀念《蓝风筝》！
negative	这种荒诞又浪漫的怪奇片也就法国人能拍出来了吧……
negative	三观不正，再怎么套小清新的外壳都是没用的
negative	第一次看美国甜心的片子不是跳着看完的，但是这质量还不如那跳着看完的。((‵□′)) 
negative	《讨厌的女人》 （2017.4.10） 3
negative	实在觉得无聊，那几个砍手指的段子还行，要不是金城武真是看不下去了。
negative	说实在比人在囧途和泰囧差远了，全程无笑点无尿点，很无聊来着，包贝尔的演技以及人物看着都很尴尬
negative	选剧本之前敢不敢先补补脑，朱时茂大叔你是肿么了。
negative	拍战争三部曲的跟举起手来的一定不是一个冯小宁！
negative	没钱就别学别人拍片！什么鬼！！！#烂片总是惊人的相似#
negative	真丑  要悬念很悬念  我能看到结局真是强大
negative	ったく、いい歳なのにこんな恋愛映画見てどうすんの。
negative	小朋友那一小段真是纯真啊，音乐也很好，青春彷徨那段真是呛人啊
negative	都说了好电影不要拍续集, 不要为了赚钱毁了传奇...
negative	乏味得有点过份，全是套路，看了一半去按摩了。
negative	或许我口味叼，这和《勇士》不是一个级别的的，不是考虑彭于晏在《寒战》中表现还不错我是不会看这片的。
negative	我以为要更好玩一些，男主双下巴可爱，英文口音好听，女主演得还行吧，说话声音好温柔，透着一股皇家气息
negative	这个也太假了吧，唯一的亮点是色即是空的男猪脚……
negative	爱情一旦变了就是变了，花瓶碎了再精湛的技艺也粘不回原样
negative	其实导演是用心的，只是一个影视专业的教授，学院派的老师完全没有把这个故事给我用镜头表达出来
negative	和 【我唾弃你的坟墓3】极度相似， 女主眼睛挺有特点的确实像个天使。
negative	按照套路不是应该祖贤和敏敏在一起吗？那个泡面头来干啥的!神烦
negative	女狼人最后有点恐怖，画面挺美的。一直觉得里面的女警官很美原来是莉芙泰勒。
negative	沒有任何人性元素，凸顯了導演人文意識和藝術修養的匱乏 
negative	有些沉闷，某一段让我觉得像变态杀手的节奏，没什么能吸引人把它看完
negative	这一部就是传说中轰动全美的青春喜剧，同时也是80年代全美总票房第一。
negative	比起我对它的期待，它的呈现就成了个不能回头的噩梦。开头一段莫名其妙，最后又咋呼，简直了一出大戏。
negative	我只记得我看过，但不记得讲了些什么。。。
negative	恶搞电影自惊声叫笑系列之后便死无葬身之地
negative	应该只在网络播放吧，要真的是院线还不得亏死？小白的四川普通话还蛮萌的~~桥段不好笑，只是恶俗又冷
negative	国产的恐怖片果然是一点都不好看，最后都是不可能有鬼的
negative	贝松大叔你一旦下决心要商业起来，还真是商业得让人发指啊，连一部完整的电影都不让各位童鞋们好好看。
negative	投名状告诉我们兄弟是靠不住的，妃子笑告诉我们姐妹是靠不住的。
negative	本来是个不错的题材。可是就是被拍成这个恶心的样子了。
negative	有一段配乐，突兀而又没道理，和整部影片的节奏感觉完全不搭调···
negative	生命如草芥！特别是弱势群体，古今都如此！
negative	他有了风火轮 他也有了风火轮 大家都有了风火轮
negative	自从一流警察从楼上跳下来，这片子就一团糟
negative	一眼看去还以为是#无极#呢。原来不是啊。。。垃圾电影到了一定程度就无语了。。。。
negative	孩子们总是想不费吹灰之力的长大 尝试错误 长大 真的长大了最想抹去的也就是那个错误
negative	额额，叫兽也就弄弄搞笑电影的水平，真刀真枪神马的不是你的菜。。。。。
negative	爱情片包装的伪情色电影，男女主角欲脱不脱，男女配角为了脱而脱。。。
negative	恶搞了不少电影，可惜被恶搞的那些原片大多是些恶俗片
negative	黑色幽默/冷幽默到我看不懂。。。不是他的错，不是一个世界的。。。
negative	普通的犯罪片，揭示犯罪生态的程度属于点到为止
negative	段子低俗而且还不好笑，演员演技太过浮夸，纯粹卖肉的
negative	泰国鬼片也越做越烂了 虐杀不像虐杀片 鬼片不像鬼片 各种牵强各种假各种智商拙计。。。。
negative	发现这片儿是俞飞鸿自编自导的之后，我就释然了
negative	劳资抱恙，家里动作烂片就满天飞，也是热闹。
negative	太差劲了，我一开始还以为是冰雪奇缘的续集，原来不是
negative	要看活死人黎明的，结果误下了这部无厘头烂片。
negative	最崩溃的是，昴星出场不到两分钟就双双挂了啊啊啊啊啊！！！
negative	史蒂芬席格真的也有些年歲了，拍的片子都大同小異，連身手也沒那俐落了。
negative	典型的韩国商业片，剧情老套，而且对电影的价值观不认同。
negative	妈了个逼的的公司研究海外题材影视剧把这个任务摊给我了
negative	太过于假，有些片段还映射出中国现在的房地产。配乐超差，除了鼓掌那一段。
negative	5分电影  不是很好笑 笑点也没什么内涵   比较失望 只是一部普通的喜剧片
negative	我遙又被“日本女性”代表了，然后被“牺牲”了。
negative	我瞎了。什么烂片。矫情。好吧，我过了装逼的年纪了。
negative	本片集合了深作跟黑泽两个人的缺点。编剧惺惺作态，导演虚情假意，演员在做闹剧
positive	爱能起死回生 把游戏和现实结合的过于神奇了吧
positive	话剧感觉。其实能算哲理片了。片中有许多大实话。男主又憨又自恋。看到片尾我也快爱上他了~
positive	很有意思的电影，立意很新颖，华英雄是亮点
positive	影戏传统的继承和创新。情节曲折，人物塑造饱满。歌曲渔光曲起到了叙事作用。对比蒙太奇。
positive	这部电影无关票房、无关风景、无关华丽的辞藻和宏大场面，只是寂寞的生命悄悄开出了一朵叫宽恕的花。
positive	很温馨。很美味喊爸爸的时候，心都要融化了。
positive	高中时曾经感动哭，几乎每首歌都重复听的电影，歌曲真的很好听！
positive	在韩国电影里算一般吧，不过不失，没有特别出彩的地方，但娱乐性也还可以
positive	黑白的电影里却充满生活的色彩 漂泊人可能看后会有所触动
positive	终于拍出了一部超越熔炉的电影，具有一定的现实意义，女性，人性。
positive	虽然感觉开头霍夫曼的表演有些过火，但越到后面就越好。
positive	=比较好的想象力~~最喜欢最后与外星人接触的那段
positive	没想到如此经典的一片子。很有张力，太牛了。
positive	一直被这个标题给迷惑，以为是讲香港部队的。
positive	79年的电影，纯洁的心灵，纯粹的精神。看腻了好莱坞和所谓的国产大片，再看这些老电影顿时觉得神清气爽。
positive	荒原里的冬青，澎湃静谧的大海，超越理法的烈火，人海中的明星。四个天才的故事。
negative	弱鸡剧情及设定。唯一收获看到叔的演技了。
negative	吉尔伯特的余生伴随着那幅女主骑在马背上的画像度过……想想都悲催。完全无法理解剧中的三观！
negative	本人和他演的片子的幽默感觉不太像，现实反差很大。各种荤段子不好笑啊，文化差异吧。
negative	快进看完，科幻总要有点科幻片味道啊，本片全向人文靠啊
negative	掰手腕这件事真的不是拳击或是摔跤能撑两个小时呢。故事太水了，大叔约个人撑得太不容易了。
negative	从绝无神死掉之后，我就坐立不安直想走，但是居然还有一大半！
negative	字幕表一出，观众们便迫不及待地起身离场，一如坦桑尼亚的塞伦盖蒂大草原上，追随着雨季进行大迁徙的角马。
negative	主角光环大到飞起。有勇无谋，最后还不是被阿富汗人救啦。
negative	居然连吻戏都没有！不过青梅竹马的爱情还是印象深刻！还有男主变身那猥琐至极的屌丝范儿！
negative	何润东神马的我妈要看的。。看完之后觉得真是极度无聊！纯属上来吐个槽
negative	叙事主线不清晰，人物性格的刻画也简单粗糙了点。
negative	是国内今年初最好的，但拍得不好，在学科恩兄弟，节奏剪辑上也有不少需要改进的地方
negative	这根本就算不得恐怖片，看在第三个故事的份儿上多给一颗星吧
negative	这剧情的牵强和白痴的程度实在是绝了   
negative	妈妈专业户演得很用力，编剧乱七八糟，烂片一部，鉴定完毕
negative	要不是看在我的第一部午夜场，一颗星也不给！
negative	其实只係嚟睇子华神，不过套戏真係令人无语……
negative	非常无聊，一点都不好看，完全没有笑点。几个男女演员都很丑。崔成国也老了。
negative	电影所要表达的观点我不能认同，金钱社会，其他都是浮云
negative	谢霆锋 陈奕迅 张智霖 林心如 不評但我在戲院看的
negative	有乱伦来降低师生恋的不堪，看完后，果真是三观尽失。类似的情况，男主像英雄，儿媳像婊子。什么狗屁片子
negative	冲着王婷来的，不过话又说回来，兄弟是一起喝酒吃肉一起担当的
negative	爱情重要吗？不重要吗？你要吗？能要吗？要得起吗？
negative	千万别浪费时间看这部吸毒张给他包养的小丫磨的豆渣！！
negative	？？？明明养豪猪的妹子可爱好看多了？？？我还一直以为做作又抓马的爱情只在好看的人中间发生呢？！
negative	花了两个小时讲了个预告片的内容不过考虑到是三部曲可以理解不过我是不会找剩下那两部曲来看的。
negative	没多大的意思。肤浅的主题，拖沓的节奏，懒散的结构。
negative	多线索、非线性叙事都快被玩烂了！庸常、无聊。这种网大质感的片子，就不要进影院骗钱了。
negative	剧情吵闹无聊，除了技术当时看牛逼，罗杰他老婆好看以外，没别的了
negative	就一堆煞笔～一堆富二代脑残～还装残酷青春～一堆有钱煞笔的过家家
negative	看都看不完，实在不知道拍的意义是什么。。。。
negative	王力宏很帅，这不太像是一部电影，像童话故事或者别的什么
negative	胡搞搞得 建立一个世界就要有一套体系 而不是随便套个乱七八糟的模式
negative	古天乐大帅哥怎么变橘色了…可以不给星吗？好吧，一颗给自己，中途没有退场。。。
negative	某人不说暗话，五分钟内我要知道在哪里可以买到木屋里唱歌的那条鱼。
negative	为了悬疑牺牲情色，偏偏又不懂悬疑叙事【4】
negative	感觉这不像德尼罗主演像是客串 真的没啥内容没啥形式做个样子。
negative	一句话：难看到家了！！唯唯诺诺的讲，实在胆小鬼，那么何必要拍呢！！
negative	原著浓浓的迷幻感，硬是拍出了土鳖气。（应该找加斯帕·诺来拍）
negative	德国人真的是这样搞笑的么 还有 他们长的真不好看！！
negative	我对国产片是次次明知失望，都还忍不住看，然后还是次次失望。这种感觉这么类似呢
negative	在伦敦看着宣传火爆就看了。没有看过电视剧，没有情怀吧。所以一般。
negative	四郎？四郎？四郎是你吗？你回来了？四郎你怎么不叫朕嬛嬛了？
negative	利晴天如果不是本色出演的话也太精彩了吧。
positive	生猛深情温柔又残忍。英伦出品，凯特出演，哈代原著，英俊男猪。岂止佳品。
negative	为什么会有一个这样丑而且碍事的女主角，制片方怎么想的。
negative	男主不帅，女主不美，剧情无新意还淫荡，毫无看点
negative	挂羊头卖狗肉，又臭又长。据说是在追求所谓的“内涵”？那恐怕我这种俗人真不懂得欣赏了。
negative	给了一个完美结局，故事确实太假，不过还是有点教育意义
negative	又是梦！捏气泡纸的桥段很妙。人总还是会被同一块石头绊倒。弯弯小清新好累
negative	回加飞机上百无聊赖看的片子之一，按快进按得我手都抽筋了
negative	导演的脑洞也穿越黑洞了。不明不白的变异，好像成了90'的烂片标志之一了。
negative	节奏太慢。开头觉得氛围很末日，看到后面则完全失去了耐心。
negative	女主角长得挺好看，但乳房太小了，情色戏摄影不到位。
negative	完全不可理喻的一集，各种想凸显高大上的没用展示，人物性格都完全出于混乱状。自娱自乐。
negative	我去 ！志愿军出场真的吓到了！！！！简直惊悚呀！！！
negative	又臭又长。神犬亮了 。本斯蒂勒和亚当桑德勒我永远分不清
negative	说实话，这绝对是一部粉丝电影。我猜上映后5分没有。
negative	要不是为了陈柏霖 我犯得着费那个时间嘛 王珞丹真是恶心
negative	部分情节还是能看滴，不然就一颗星了，业余
negative	武打动作实在太假，我就知道不能一看到三个能打的女孩就幻想有看霹雳娇娃的兴奋度。两颗星给她们的性感
negative	終於發現了一部自己看過的4。0以下的爛片
negative	前面鋪陳太久了，有點疲乏想睡，男的帥女的美，看看就好，因為一般人應該沒有那麼正義。
negative	画面那么好看那么文艺那么梦幻但是他妈逼这故事到底讲了啥！囧！完全没有看懂！
negative	私人订制下成这个 结果我还看完了，，实在是无语 没什么好说的了
negative	_(:з」∠)_ 看完会胃痉挛，别难为自己，人生已经够艰难了……
negative	不关你是抱着看料理的愿望还是励志，都会让你大失所望。打发时间的剧而已。
negative	狗血中带着治愈，妈妈的演技和结局都太生硬，但能重头看到尾两星半
negative	跟＜穆赫兰道＞差很多，看到一半，后面的剧情根本就不吸引我了，所以即使看到结尾，也觉得无聊。
negative	一场闹剧，又不好笑又无营养，菊花变成向日葵
negative	想展现女性的多元情欲和男主活好，就不要在性爱过程中以男性阴茎为中心，一点都没有说服力
negative	完全比不上第一部了，吴彦祖在里面气场全面下降
negative	看了这个，我真心觉得还珠格格拍的好深奥啊！！！
negative	凡出现脑残大本营里面任何一位的电影，必属烂片！！！
negative	极端自恋下浮躁、浅表、哗众取宠的叙事……
negative	对白太没营养 剧中女演员清一色的俗气 导演想表达的东西没有表达好
negative	这海报看起来怎么那么别扭？嗯？头大脖子短，小孩子的身体安个大人的头？
negative	大怪物都没出现就完了！还搞那么史诗的配乐！吓唬谁啊。
negative	戏剧化方式呈现的老年失意生活，剧作基本没有真正出彩的地方。★★
negative	猫头鹰的造型不算讨喜，剧情也比较俗套，男主鸟兄弟反目，很像太极张三丰里的君宝和天宝。
negative	剧中所有爱恨情仇都莫名其妙！只是，她流泪的样子很像她.
negative	标榜惊悚片，但真心太套路，而且气氛做的也不够，唯一亮点是超模女主，没了。。
negative	因为网上的小说比较火，因此下载了看，但很后悔！真的是烂片
negative	什么垃圾故事？你把我童年的美好回忆都给毁了
negative	知道你们喜欢黑暗，但是全程乌漆墨黑的让人都看不清画面，请问是想闹哪样
negative	特地来给圈钱的滥片打一星。。。幸亏没有我费曼和吴妈。。。
negative	这套路已经没有新意，玩烂了，片子难看得要死
negative	不知道讲的是个啥啊，唯一的看点终于看到一美对着比他矮的英国男星喷口水了。
negative	原来是和坎特伯雷故事一个导演，原来如此，实在看不下去
negative	等待一生的纯真感情、和妈妈在电影院看得略显无聊、只是刚刚去完鸟巢水立方可以温习下、
negative	编剧，导演都是傻的吗？全片没有任何逻辑可言！
negative	郑秀文老归老，气质超好的！两个那么好的演员要谨慎挑电影才行啊！
negative	女主的幻象写的太多了吧，结局就这样完了？比较无聊，情节不跌宕起伏
negative	已经俗套成流水账电影，该哭时就哭，演技的突破也无法为电影带来一点惊艳…
negative	对剧情真没啥想法，随便看看不要脑子记镜头
negative	续集不好拍，因为观众的期待值会很高。没有进步就是退步，在我看来几乎毫无笑点。就在第三集完了后解脱吧。
negative	除了凯瑟琳 其余没什么可看的～ 剧本很烂～
negative	能再幼稚点么……枉我喜欢赛车才来看的……结果赛车的元素也搞这么烂
negative	真是不知道你们在搞什么，王宝强的怎么会拍这种电影。
negative	1940年代的智利物质丰富到那种地步的话，您就别咸吃萝卜淡操心了
negative	夏天是电影中一只猫的名字，猫尾巴？自得其乐？没有看懂
negative	= =不知道为咩，总觉得玩具会动好恐怖啊。而且……眼神猥琐。←童趣已经死光光了。
negative	这部片子我感觉突出父亲的责任大于贫民窟黑帮的战斗了，不知所云。
negative	墨西哥电影？他们长得不太一样 思路也不太一样呢结尾怎么要经历不理解父亲才多年和好呢 
negative	本来挺喜欢吴佩慈的，但是这部让我呕。。。
negative	整个片子传达的价值观都是狗屎。而且女主角那么丑，这种万人迷似的氛围好可怕……
negative	太失望了,只能说这种根本就不配拍成电影出来卖,剧情松散味同嚼蜡,说是励志但明明阴暗面更多,太差了
negative	讲真，吸血鬼工作效率真能比活人高吗？还有，给吸血鬼发工资要发血浆吗？
negative	这种片竟然也能下到高清的。。之所以没给1星，纯粹是不明觉厉罢了。。
negative	多年以后，人们会在地球上发现外星人，会在宇宙中发现外星文明，会在时间裂缝中发现卓一航和练霓裳。
negative	主角不死无下限了，全片都在崩溃丫怎么还不死
negative	从开始一直哔哔哔哔到结尾，我是真的被催眠了
negative	本片真挺恶俗的，失望。唯独那老头吃着各种肉的时候说了一句：我们崇尚和追求自由，但是不能不真实。
negative	尼玛老郭就不能出个正常智商不脑残的影视剧，你就这么恨岳云鹏想他影视路走死跟你一块臭大街？
negative	海报让人以为是恐怖片，看完后发现是部让人有一种变态的爽感的悲剧
negative	没看过这么差的电影，加拿大在这方面好像一点也没得到美国的真传
negative	没劲，勉强看了30分钟，倒到最后看了个结局！
negative	能把一个爱自杀的诗人拍得这么无聊真是不简单
negative	台湾方言直接听不懂，笑点也没有，最后是模仿大木的《不能说的秘密》吗？
negative	桃花灿烂你还能再烂点吗？整个就是精神分裂 磨磨唧唧的不说明白谁跟你啊 没劲死了 烂烂烂
negative	蓝色是忧郁的颜色，片子演技有些过了，没看完，看不下去
negative	哎呀我真你妹！！！太特么恐怖了。。。我说的是电影烂的！！！后面打呼噜巨响那哥，我理解你！！！
negative	被自己吟的诗句扼住了呼吸的电影啊，周身毛孔里透着野生的匠气。
negative	带着无限的想法去看,可到头来感觉不过是不断的通过预知未来来进行影片的叙述
negative	我觉得 这部戏应该可以拍的更好。导演不喜欢给人特写，什么都是草草扫过，尤其是大梦，简直是超级玩票
negative	我日，找了一万年的电影原来是这个。那段床戏印象很深刻
negative	恶心到底，不管是题材还是发展还是拍摄还是那藏不住光芒的人性光辉，恶心到底。真恶心
negative	2颗星是给画面还是比较接近梦工厂的，其他就算了，呵呵
negative	好莱坞流水线产品，屎尿屁和模式化都毫无新意。
negative	虽然不知道原著怎么画的 但是总感觉主角变成奈奈了 而且那个  市川由衣 长得也太丑了 还超做作
negative	本以为再差差不过上一部剧场版，看来是我太天真了……
negative	朝鲜电影能看出点意思，阿尔巴尼亚的看不出来，除了技术还比较好之外
negative	輸給慾望也要昇華成心靈頓悟嗎真是太虛偽了
negative	单挑外星人的警察，难怪在世界末日前那么淡定。
negative	我是冲着女主角来的。。说实话这电影，不好看，看完很后悔。
negative	没办法，人家也要挣钱养家糊口，拍个烂片也是可以理解的。
negative	跟续集一起看下来，音乐 镜头 才感觉经典。但是单独看这个老电影，也太费劲了。
negative	剧情和第一部几乎完全雷同，无脑欢乐的低成本喜剧。
negative	恶搞的挺没意思的~恶搞斯巴达克斯的那部就还挺好玩的啊..
negative	小四对校园霸凌的理解就和对奢侈品的理解一样肤浅
negative	整体没什么意思，只有少数几个冷笑话和游戏能让人短暂兴奋下。
negative	我能说实话不？这片最牛逼的地方就是配音阵容实在太豪华了
negative	主人公的絮絮叨叨似乎也就是文科文艺青年的水准
negative	看到一半实在看不下去了，我要是余怕怕，我比万强老婆先提出离婚
negative	把一对情侣看跑了之后，我与朋友们开了关于以后选电影责任分配制度大会。🤔🤔🤔
negative	特么看这么多电影第一次看睡着！还特么是带7人团刷，200多块啊~就当金盆洗手费了成不啊成龙大哥！
negative	看过彭丹的一期锵锵三人行访谈 真是对这种肤浅还装比的人无语 满口体制内的用语 跟成龙有一拼
negative	抛下偶像包袱，故意扮丑搞笑还是脱离不了烂片，不过精神可嘉！
negative	这犯罪片子手法也太那啥了吧，这女孩够狼心狗肺的。
negative	居然可以比第一部无聊到飞起,也是给跪了...
negative	影片很一般，老腔“古风摇滚乐”很过瘾！女主漂亮，男主形象设计容易出戏……
negative	廉价真善美 真一叔是欠黑社会钱被逼着接这种戏吗
negative	竟然还有续作……完全没有想到！还是一样的难看！！
negative	差 演员长相本来就不讨喜 也没什么演技 剧本也差 
negative	学农那会看的。。国产喜剧片优秀的毕竟凤毛麟角。
negative	怎么看都像是个一边拍，一边编的东西， 娜奥米·沃茨这条线白白浪费，整部片是个半成品，看完让人吐血。
negative	开篇斗舞还行，后面越来越无力……都不知道要看个啥
negative	真不知痴迷印度片的人什么玩意，整个模仿好莱坞的伪片把
negative	镜头晃得头晕，第一部因为镜头晃动而完全看不下去的电影。
negative	难看到可怕，科幻儿童迷你剧都不应该拍成这种水准
negative	不错的科幻电影...最后的搏斗还是相当逼真的。。剧情缩水.....
negative	看完了才发觉导演不是蔡明亮 浪费我时间( -᷅_-᷄ )
negative	狗咬狗黑吃黑的小成本电影，老实说偶没看明白跟军规一毛钱关系。拜翻译所赐，字幕也糟透了。
negative	今年看过最烂的电影之一.只可以说,没有最烂,只有更烂
negative	小人物传记不是这么拍的。二十分钟就看不下去了。
negative	低配版波拉特，我真的完全不懂法国人的笑点。
negative	刻意，就显得不够了。悲伤电影，片名把结局都说清楚了，也就没什么好期待有多少悲情了
negative	主旋律不难吧。 不是反感主旋律。而是真的作为电影本身价值观和可看性就不足啊。
negative	欣赏不来，业余小偷变业余的高端人士再回去。
negative	看的那叫一个雷啊。。。95年嘛。。。厄。。。劳模不囧。。。
negative	好桑心...好桑心...好桑心......红内裤的梗是在天涯看屌丝文章学到的么？
negative	刘璇的体操动作一上来，顿时有种被雷劈中的感觉。
negative	明明下的是别的片结果下到了这货。。。什么玩意儿！
negative	我小时候就看这个片子了，现在凤凰卫视怎么没有了呢
negative	养眼的主演、优美的风景也抵不过粘稠的故事的杀伤力。看了二十分钟，弃。许秦豪近作真令人失望。
negative	没劲，老派日式风格底层人民自卫反击战系列。
negative	且逃且战，落井下石，比前两部女主上道儿，然而并没有什么卵用。
negative	本片仅背景音乐可取，看后无限循环权利的游戏片头。
negative	这电影不用看之前就可以打一星了。抄袭游戏现在还来抄袭剧场版。渣！
negative	风景特效好、数帧画面颇美，转场比较粗糙。
negative	20150326，真挺假的，导演也没拍出感觉…
negative	很烂，结尾只分析女人的问题，貌似很封建啊
negative	我发现我已经变成了什么样的小故事都能有触动我的点的烂俗博爱女屌丝。。
negative	故事真的没有一点儿新的点。编剧可是邱刚健啊……剪辑也挺二的，废戏太多。
negative	妈逼呀，有必要右边挂一排傻逼影志的豆列嘛！！！
negative	  开始看了很久都不知道为啥 女主角会不相信人 ，竟然最后才知道 ，不咋样儿啊真觉得。。
negative	剧情平庸，武打设计一般，赵文卓也没法演出多年前的那个黄飞鸿
